config,scene,PSNR,SSIM,LPIPS,num_gaussians
none,fern,21.9672184,0.727531,0.1970681,90848
none,flower,19.8316326,0.6219632,0.2467243,89371
none,fortress,22.5501003,0.6849382,0.1913026,56630
none,horns,18.4572334,0.6444504,0.2722917,69626
none,leaves,17.0701828,0.6314606,0.2052451,198265
none,orchids,15.4663181,0.4859886,0.2681621,91329
none,room,21.4996185,0.8332492,0.173132,41769
none,trex,21.9258118,0.8226096,0.1438543,60016
original,fern,22.956459,0.7550721,0.1877042,74727
original,flower,20.4515572,0.6531239,0.2367262,72400
original,fortress,22.8648148,0.7315273,0.1835048,58002
original,horns,18.9094715,0.6738832,0.2558153,64963
original,leaves,17.5909233,0.6502299,0.2000888,158319
original,orchids,16.0769215,0.5115602,0.2546087,84151
original,room,21.8324108,0.8535658,0.1575508,41133
original,trex,22.321125,0.8295742,0.1449907,59439
h2,fern,22.8303928,0.7544611,0.1914912,67020
h2,flower,20.7797089,0.6545303,0.235258,64658
h2,fortress,23.5744724,0.7291689,0.1786058,52275
h2,horns,19.2671204,0.6823262,0.2593005,59177
h2,leaves,17.683445,0.6491987,0.2028862,135223
h2,orchids,15.950366,0.5119902,0.2561098,76439
h2,room,22.1975956,0.8553858,0.1544394,37380
h2,trex,22.4994659,0.8373243,0.1387598,55261
h1,fern,22.5554504,0.747813,0.1898199,103134
h1,flower,20.3903141,0.6473611,0.2354298,95560
h1,fortress,22.6300678,0.7249209,0.1796677,69015
h1,horns,18.5949554,0.6809735,0.2507737,82106
h1,leaves,17.6728535,0.6540837,0.194476,220225
h1,orchids,16.0632801,0.5174713,0.2498127,106609
h1,room,22.0974655,0.853157,0.1603199,48483
h1,trex,22.5958843,0.83917,0.1327023,74848
h1h2,fern,22.7201176,0.7552244,0.1823249,102346
h1h2,flower,20.257618,0.6453985,0.234503,93457
h1h2,fortress,22.961916,0.7239811,0.1836147,67293
h1h2,horns,19.0408764,0.6861516,0.25072,80437
h1h2,leaves,17.751442,0.6596925,0.192797,210911
h1h2,orchids,16.0077095,0.513101,0.2461224,106928
h1h2,room,22.0543728,0.8511712,0.1586322,49065
h1h2,trex,22.5713158,0.842136,0.1327236,71723
none,MEAN,19.846,0.682,0.212,
original,MEAN,20.375,0.707,0.203,
h2,MEAN,20.598,0.709,0.202,
h1,MEAN,20.325,0.708,0.199,
h1h2,MEAN,20.421,0.710,0.198,
